Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
    HDB 4-Room Flats,"93,004","93,468","92,300","89,921","87,650","83,959","80,212","76,872","73,357","69,882","67,344","61,611","53,890","48,430","42,444","36,845","36,625","38,221","37,540","37,221","34,875","31,818"
    HDB 5-Room And Executive Flats,"73,900","74,235","72,226","69,434","66,350","63,316","59,993","57,488","54,558","51,764","49,153","44,515","38,648","34,162","29,349","25,180","24,555","24,662","23,615","23,029","21,572","19,406"
  Condominiums & Other Apartments,"29,291","28,871","27,444","26,336","24,474","22,506","20,786","19,388","17,974","17,016","16,208","14,547","12,699","11,082","9,887","8,353","7,610","7,237","6,635","6,570","5,980","5,228"
  Landed Properties,"18,722","19,573","19,623","19,466","19,315","18,733","18,313","18,130","17,841","17,580","17,556","16,502","14,817","13,488","12,165","10,658","10,407","10,716","10,499","10,968","10,775","10,400"
  Other Types Of Dwelling,"2,737","2,754","2,685","2,665","2,639","2,592","2,515","2,505","2,501","2,352","2,447","2,299","2,080","1,893","1,585","1,435","1,564","1,580","1,610","1,824","1,877","1,838"
65-69 Years,"235,391","229,396","221,296","212,101","203,969","198,020","182,425","161,198","145,817","128,879","112,396","111,511","116,258","115,185","113,757","108,837","101,088","96,007","89,883","89,587","89,676","88,305"
  Total HDB Dwellings,"194,248","188,645","181,847","173,904","166,911","162,333","149,609","132,053","119,928","106,322","92,727","92,739","97,159","96,395","95,348","91,061","84,450","80,743","75,802","75,141","75,330","74,218"
    HDB 1- And 2-Room Flats,"17,236","16,448","15,680","14,855","13,963","13,182","12,029","9,991","8,922","7,812","6,866","6,793","7,435","7,585","7,767","7,432","7,045","6,766","6,400","6,668","6,745","7,008"
    HDB 3-Room Flats,"42,212","41,986","41,384","40,493","40,076","40,443","38,220","34,948","32,647","29,976","26,807","27,574","29,542","29,951","30,017","29,188","27,560","26,862","25,623","25,276","25,757","25,515"
    HDB 4-Room Flats,"77,190","74,732","71,624","68,151","64,843","62,612","57,367","50,428","45,325","39,957","34,502","34,339","35,757","35,082","34,373","32,666","29,889","28,549","26,838","26,830","26,785","26,327"
